0, 20.000, 0.000
1, 25.000, 0.000
2, 30.000, 0.000
3, 35.000, 0.000
4, 40.000, 0.000
5, 45.000, 0.000
6, 50.000, 0.000
7, 50.000, 0.000
8, 50.000, 8.333
9, 50.000, 16.667
10, 50.000, 25.000
11, 50.000, 33.333
12, 50.000, 41.667
13, 50.000, 50.000
14, 50.000, 50.000
15, 41.667, 50.000
16, 33.333, 50.000
17, 25.000, 50.000
18, 16.667, 50.000
19, 8.333, 50.000
20, 0.000, 50.000
21, 0.000, 50.000
22, 0.000, 45.000
23, 0.000, 40.000
24, 0.000, 35.000
25, 0.000, 30.000
26, 0.000, 25.000
27, 0.000, 20.000
